index,feature,importance
1473,SUM(previous_app.MEAN(installments.AMT_INSTALMENT)),64
1453,MAX(previous_app.STD(installments.AMT_INSTALMENT)),64
1166,SKEW(previous_app.STD(cash.CNT_INSTALMENT_FUTURE)),64
1339,SKEW(previous_app.SUM(installments.AMT_PAYMENT)),63
90,NAME_HOUSING_TYPE,63
1465,SKEW(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),63
412,SKEW(credit.AMT_DRAWINGS_ATM_CURRENT),63
556,MEAN(installments.DAYS_ENTRY_PAYMENT),63
735,MEAN(previous_app.SKEW(cash.SK_DPD_DEF)),62
91,LIVINGAREA_AVG,62
339,SUM(installments.NUM_INSTALMENT_NUMBER),62
1516,MEAN(previous_app.MEAN(installments.AMT_INSTALMENT)),62
819,SUM(previous_app.STD(installments.NUM_INSTALMENT_NUMBER)),62
653,MIN(previous_app.STD(credit.CNT_DRAWINGS_CURRENT)),62
369,MAX(installments.SK_ID_CURR),62
1327,MAX(previous_app.SKEW(installments.NUM_INSTALMENT_VERSION)),62
401,SUM(cash.CNT_INSTALMENT_FUTURE),62
478,MEAN(credit.CNT_DRAWINGS_CURRENT),62
1249,MIN(previous_app.MEAN(credit.CNT_DRAWINGS_ATM_CURRENT)),61
677,MEAN(previous_app.MAX(cash.MONTHS_BALANCE)),61
37,AMT_REQ_CREDIT_BUREAU_YEAR,61
1085,MIN(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),60
1186,STD(previous_app.MAX(installments.NUM_INSTALMENT_NUMBER)),60
9,CNT_FAM_MEMBERS,60
675,STD(previous_app.MEAN(installments.AMT_PAYMENT)),59
683,MEAN(bureau.MEAN(bureau_balance.MONTHS_BALANCE)),59
1206,MAX(previous_app.MEAN(installments.DAYS_INSTALMENT)),59
1225,MAX(previous_app.SUM(cash.CNT_INSTALMENT)),59
75,YEARS_BUILD_MODE,59
1542,MEAN(previous_app.MEAN(cash.CNT_INSTALMENT)),58
809,MEAN(previous_app.MEAN(installments.DAYS_ENTRY_PAYMENT)),58
112,APARTMENTS_AVG,58
1104,SUM(previous_app.STD(credit.CNT_DRAWINGS_CURRENT)),58
1320,SKEW(previous_app.SUM(cash.MONTHS_BALANCE)),58
1608,MEAN(previous_app.SUM(installments.NUM_INSTALMENT_NUMBER)),58
1037,MEAN(previous_app.MAX(installments.NUM_INSTALMENT_NUMBER)),58
1266,SUM(previous_app.MEAN(installments.NUM_INSTALMENT_NUMBER)),57
702,STD(previous_app.SUM(cash.CNT_INSTALMENT_FUTURE)),57
29,NONLIVINGAPARTMENTS_MEDI,56
357,SUM(bureau.AMT_CREDIT_SUM_LIMIT),56
146,COUNT(bureau_balance),56
571,SUM(previous_app.MIN(installments.DAYS_INSTALMENT)),55
1484,SUM(previous_app.MEAN(cash.CNT_INSTALMENT)),55
830,MEAN(previous_app.STD(installments.DAYS_INSTALMENT)),55
1408,STD(previous_app.MAX(installments.DAYS_ENTRY_PAYMENT)),55
114,WALLSMATERIAL_MODE,55
1067,SKEW(bureau.MIN(bureau_balance.MONTHS_BALANCE)),55
142,SUM(credit.CNT_DRAWINGS_ATM_CURRENT),55
